
2025/08/26 (13:40:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (13:40:03) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/08/26 (13:40:03) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/08/26 (13:40:03) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/08/26 (13:40:03) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/08/26 (13:40:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (13:40:03) | WARNING: NVML: Failed to get PCIe TX throughput: GPU requires reset
2025/08/26 (13:40:03) | WARNING: NVML: Failed to get PCIe RX throughput: GPU requires reset
2025/08/26 (13:40:03) | WARNING: NVML: Failed to get GPU power state: GPU requires reset
2025/08/26 (13:40:03) | WARNING: NVML: Failed to get GPU temperature: GPU requires reset

2025/08/26 (13:40:10) | ===> btop++ v.1.3.0
2025/08/26 (13:40:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (13:40:10) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/08/26 (13:40:10) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/08/26 (13:40:10) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/08/26 (13:40:10) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/08/26 (13:40:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (13:40:10) | WARNING: NVML: Failed to get PCIe TX throughput: GPU requires reset
2025/08/26 (13:40:10) | WARNING: NVML: Failed to get PCIe RX throughput: GPU requires reset
2025/08/26 (13:40:10) | WARNING: NVML: Failed to get GPU power state: GPU requires reset
2025/08/26 (13:40:10) | WARNING: NVML: Failed to get GPU temperature: GPU requires reset

2025/08/26 (13:40:27) | ===> btop++ v.1.3.0
2025/08/26 (13:40:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (13:40:27) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/08/26 (13:40:27) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/08/26 (13:40:27) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/08/26 (13:40:27) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/08/26 (13:40:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (13:40:27) | WARNING: NVML: Failed to get PCIe TX throughput: GPU requires reset
2025/08/26 (13:40:27) | WARNING: NVML: Failed to get PCIe RX throughput: GPU requires reset
2025/08/26 (13:40:27) | WARNING: NVML: Failed to get GPU power state: GPU requires reset
2025/08/26 (13:40:27) | WARNING: NVML: Failed to get GPU temperature: GPU requires reset

2025/08/26 (13:40:44) | ===> btop++ v.1.3.0
2025/08/26 (13:40:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (13:40:44) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/08/26 (13:40:44) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/08/26 (13:40:44) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/08/26 (13:40:44) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/08/26 (13:40:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (13:40:44) | WARNING: NVML: Failed to get PCIe TX throughput: GPU requires reset
2025/08/26 (13:40:44) | WARNING: NVML: Failed to get PCIe RX throughput: GPU requires reset
2025/08/26 (13:40:44) | WARNING: NVML: Failed to get GPU power state: GPU requires reset
2025/08/26 (13:40:44) | WARNING: NVML: Failed to get GPU temperature: GPU requires reset

2025/08/26 (13:40:53) | ===> btop++ v.1.3.0
2025/08/26 (13:40:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (13:40:53) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/08/26 (13:40:53) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/08/26 (13:40:53) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/08/26 (13:40:53) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/08/26 (13:40:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (13:40:53) | WARNING: NVML: Failed to get PCIe TX throughput: GPU requires reset
2025/08/26 (13:40:53) | WARNING: NVML: Failed to get PCIe RX throughput: GPU requires reset
2025/08/26 (13:40:53) | WARNING: NVML: Failed to get GPU power state: GPU requires reset
2025/08/26 (13:40:53) | WARNING: NVML: Failed to get GPU temperature: GPU requires reset
2025/08/26 (13:47:03) | INFO: Logger set to INFO
2025/08/26 (13:47:04) | INFO: Logger set to INFO
2025/08/26 (13:47:04) | INFO: Logger set to DEBUG
2025/08/26 (13:47:05) | INFO: Logger set to DEBUG
2025/08/26 (13:47:06) | INFO: Logger set to INFO

2025/08/26 (14:10:21) | ===> btop++ v.1.3.0
2025/08/26 (14:10:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (14:10:21) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/08/26 (14:10:21) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/08/26 (14:10:21) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/08/26 (14:10:21) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/08/26 (14:10:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (14:10:21) | WARNING: NVML: Failed to get PCIe RX throughput: GPU requires reset
2025/08/26 (14:10:21) | WARNING: NVML: Failed to get PCIe TX throughput: GPU requires reset
2025/08/26 (14:10:21) | WARNING: NVML: Failed to get GPU power state: GPU requires reset
2025/08/26 (14:10:21) | WARNING: NVML: Failed to get GPU temperature: GPU requires reset
2025/08/26 (14:10:23) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2025/08/26 (14:12:21) | ===> btop++ v.1.3.0
2025/08/26 (14:12:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (14:12:21) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/08/26 (14:12:21) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/08/26 (14:12:21) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/08/26 (14:12:21) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/08/26 (14:12:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (14:12:21) | WARNING: NVML: Failed to get PCIe TX throughput: GPU requires reset
2025/08/26 (14:12:21) | WARNING: NVML: Failed to get PCIe RX throughput: GPU requires reset
2025/08/26 (14:12:21) | WARNING: NVML: Failed to get GPU power state: GPU requires reset
2025/08/26 (14:12:21) | WARNING: NVML: Failed to get GPU temperature: GPU requires reset

2025/08/26 (14:12:23) | ===> btop++ v.1.3.0
2025/08/26 (14:12:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (14:12:23) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/08/26 (14:12:23) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/08/26 (14:12:23) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/08/26 (14:12:23) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/08/26 (14:12:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (14:12:23) | WARNING: NVML: Failed to get PCIe TX throughput: GPU requires reset
2025/08/26 (14:12:23) | WARNING: NVML: Failed to get PCIe RX throughput: GPU requires reset
2025/08/26 (14:12:23) | WARNING: NVML: Failed to get GPU power state: GPU requires reset
2025/08/26 (14:12:23) | WARNING: NVML: Failed to get GPU temperature: GPU requires reset
2025/08/26 (14:12:25) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2025/08/26 (14:12:43) | ===> btop++ v.1.3.0
2025/08/26 (14:12:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (14:12:43) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/08/26 (14:12:43) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/08/26 (14:12:43) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/08/26 (14:12:43) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/08/26 (14:12:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (14:12:43) | WARNING: NVML: Failed to get PCIe RX throughput: GPU requires reset
2025/08/26 (14:12:43) | WARNING: NVML: Failed to get PCIe TX throughput: GPU requires reset
2025/08/26 (14:12:43) | WARNING: NVML: Failed to get GPU power state: GPU requires reset
2025/08/26 (14:12:43) | WARNING: NVML: Failed to get GPU temperature: GPU requires reset

2025/08/26 (14:13:06) | ===> btop++ v.1.3.0
2025/08/26 (14:13:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (14:13:06) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/08/26 (14:13:06) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/08/26 (14:13:06) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/08/26 (14:13:06) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/08/26 (14:13:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (14:13:06) | WARNING: NVML: Failed to get PCIe TX throughput: GPU requires reset
2025/08/26 (14:13:06) | WARNING: NVML: Failed to get PCIe RX throughput: GPU requires reset
2025/08/26 (14:13:06) | WARNING: NVML: Failed to get GPU power state: GPU requires reset
2025/08/26 (14:13:06) | WARNING: NVML: Failed to get GPU temperature: GPU requires reset

2025/08/26 (18:17:23) | ===> btop++ v.1.3.0
2025/08/26 (18:17:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (18:17:23) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/08/26 (18:17:23) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/08/26 (18:17:23) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/08/26 (18:17:23) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/08/26 (18:17:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (18:17:23) | WARNING: NVML: Failed to get PCIe TX throughput: GPU requires reset
2025/08/26 (18:17:23) | WARNING: NVML: Failed to get PCIe RX throughput: GPU requires reset
2025/08/26 (18:17:23) | WARNING: NVML: Failed to get GPU power state: GPU requires reset
2025/08/26 (18:17:23) | WARNING: NVML: Failed to get GPU temperature: GPU requires reset

2025/08/26 (19:42:05) | ===> btop++ v.1.3.0
2025/08/26 (19:42:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (19:42:05) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/08/26 (19:42:05) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/08/26 (19:42:05) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/08/26 (19:42:05) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/08/26 (19:42:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (19:42:05) | WARNING: NVML: Failed to get PCIe TX throughput: GPU requires reset
2025/08/26 (19:42:05) | WARNING: NVML: Failed to get PCIe RX throughput: GPU requires reset
2025/08/26 (19:42:05) | WARNING: NVML: Failed to get GPU power state: GPU requires reset
2025/08/26 (19:42:05) | WARNING: NVML: Failed to get GPU temperature: GPU requires reset

2025/08/26 (19:43:57) | ===> btop++ v.1.3.0
2025/08/26 (19:43:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (19:43:57) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/08/26 (19:43:57) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/08/26 (19:43:57) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/08/26 (19:43:57) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/08/26 (19:43:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (19:43:57) | WARNING: NVML: Failed to get PCIe TX throughput: GPU requires reset
2025/08/26 (19:43:57) | WARNING: NVML: Failed to get PCIe RX throughput: GPU requires reset
2025/08/26 (19:43:57) | WARNING: NVML: Failed to get GPU power state: GPU requires reset
2025/08/26 (19:43:57) | WARNING: NVML: Failed to get GPU temperature: GPU requires reset

2025/08/26 (19:44:17) | ===> btop++ v.1.3.0
2025/08/26 (19:44:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/26 (19:44:17) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/08/26 (19:44:17) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/08/26 (19:44:17) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/08/26 (19:44:17) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/08/26 (19:44:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/26 (19:44:17) | WARNING: NVML: Failed to get PCIe TX throughput: GPU requires reset
2025/08/26 (19:44:17) | WARNING: NVML: Failed to get PCIe RX throughput: GPU requires reset
2025/08/26 (19:44:17) | WARNING: NVML: Failed to get GPU power state: GPU requires reset
2025/08/26 (19:44:17) | WARNING: NVML: Failed to get GPU temperature: GPU requires reset

2025/08/29 (15:06:00) | ===> btop++ v.1.3.0
2025/08/29 (15:06:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/29 (15:06:07) | ===> btop++ v.1.3.0
2025/08/29 (15:06:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/29 (15:06:27) | ===> btop++ v.1.3.0
2025/08/29 (15:06:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/29 (15:06:57) | ===> btop++ v.1.3.0
2025/08/29 (15:06:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/29 (15:12:04) | WARNING: NVML: Failed to get PCIe TX throughput: GPU is lost
2025/08/29 (15:12:04) | WARNING: NVML: Failed to get PCIe RX throughput: GPU is lost
2025/08/29 (15:12:05) | WARNING: NVML: Failed to get VRAM info: GPU is lost
2025/08/29 (15:12:05) | WARNING: NVML: Failed to get PCIe TX throughput: GPU is lost
2025/08/29 (15:12:05) | WARNING: NVML: Failed to get PCIe RX throughput: GPU is lost
2025/08/29 (15:12:06) | WARNING: NVML: Failed to get VRAM info: GPU is lost
2025/08/29 (15:12:06) | WARNING: NVML: Failed to get PCIe RX throughput: GPU is lost
2025/08/29 (15:12:06) | WARNING: NVML: Failed to get PCIe TX throughput: GPU is lost
2025/08/29 (15:12:07) | WARNING: NVML: Failed to get VRAM info: GPU is lost
2025/08/29 (15:12:07) | WARNING: NVML: Failed to get PCIe RX throughput: GPU is lost
2025/08/29 (15:12:07) | WARNING: NVML: Failed to get PCIe TX throughput: GPU is lost
2025/08/29 (15:12:08) | WARNING: NVML: Failed to get VRAM info: GPU is lost
2025/08/29 (15:12:08) | WARNING: NVML: Failed to get PCIe TX throughput: GPU is lost
2025/08/29 (15:12:08) | WARNING: NVML: Failed to get PCIe RX throughput: GPU is lost

2025/08/30 (08:01:44) | ===> btop++ v.1.3.0
2025/08/30 (08:01:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/30 (08:13:39) | ===> btop++ v.1.3.0
2025/08/30 (08:13:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/30 (08:25:29) | ===> btop++ v.1.3.0
2025/08/30 (08:25:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/30 (08:25:29) | ===> btop++ v.1.3.0
2025/08/30 (08:25:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/30 (08:25:55) | ===> btop++ v.1.3.0
2025/08/30 (08:25:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/30 (08:25:55) | ===> btop++ v.1.3.0
2025/08/30 (08:25:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/09/01 (01:13:51) | ===> btop++ v.1.3.0
2025/09/01 (01:13:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/09/01 (01:13:51) | ===> btop++ v.1.3.0
2025/09/01 (01:13:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/09/08 (17:58:00) | ===> btop++ v.1.3.0
2025/09/08 (17:58:00) | ERROR: Exception during Config::unlock() : unordered_map::at
